feature,importance
consecutive_direction,0.027661031
price_range,0.025649235
avg_range_5d,0.02324954
volatility_5d,0.022381723
upper_shadow,0.02223591
return_20d,0.02170068
avg_range_3d,0.02169557
return_10d,0.021673936
price_vs_mean_20d,0.021610804
price_vs_mean_10d,0.020753294
open_price_day_D,0.020654464
high_price_day_D,0.019971568
volatility_10d,0.019894982
rsi_7,0.019815983
rsi_14,0.019733187
lower_shadow,0.019640151
return_sum_3d,0.019453345
price_vs_mean_5d,0.019447617
price_vs_low_10d,0.019392641
volume_trend_5d,0.019280698
volume_volatility_20d,0.019162618
close_price_day_D,0.019072827
macd_histogram,0.018923055
avg_range_20d,0.018716319
price_vs_high_10d,0.018617567
return_sum_20d,0.018499354
return_5d,0.018290257
price_vs_high_3d,0.017879114
macd_signal,0.01783229
volume_day_D,0.017639639
volatility_20d,0.017597063
return_sum_10d,0.01754991
volume_volatility_10d,0.017464278
volume_trend_20d,0.017360142
volume_volatility_5d,0.01735744
macd,0.016972058
price_vs_low_20d,0.016289556
volume_trend_10d,0.016265033
volume_ma_ratio,0.016232774
price_vs_mean_3d,0.015926
return_sum_5d,0.015819322
low_price_day_D,0.01562065
volume_trend_3d,0.015414804
volume_price_trend,0.0149311675
price_vs_high_5d,0.014919507
body_size,0.014794092
price_vs_high_20d,0.0143504385
price_vs_low_5d,0.014242406
daily_return_Day_D,0.0140566025
volatility_3d,0.014000179
avg_range_10d,0.0138551425
price_vs_low_3d,0.012403662
return_rank,0.012065395
return_3d,0.011986526
volume_volatility_3d,0.011657598
volatility_rank,0.0103388
volume_rank,0.0
return_direction,0.0
