feature,importance
close_price_day_D_minus_2,0.06321715
low_price_day_D,0.061464198
high_price_day_D,0.060591236
close_price_day_D_minus_1,0.059094526
volume_Day_D_minus_1,0.057762418
volume_day_D,0.057410397
close_price_day_D_minus_5,0.057183966
close_price_day_D_minus_3,0.05660446
daily_return_Day_D_minus_3,0.05587438
volume_Day_D_minus_5,0.055202026
volume_Day_D_minus_2,0.05411523
daily_return_Day_D_minus_2,0.052757658
daily_return_Day_D_minus_5,0.052551795
volume_Day_D_minus_3,0.052181255
daily_return_Day_D,0.05211854
close_price_day_D,0.050873756
daily_return_Day_D_minus_1,0.050758854
open_price_day_D,0.05023811
